Created on 05-14-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2020-05-14,ETHBTC,0.02144,0.02145,0.02106,0.02108,48379.65,1027.55
2020-05-13,ETHBTC,0.02154,0.02173,0.02111,0.02144,215400.1,4613.69
2020-05-12,ETHBTC,0.02169,0.02182,0.02132,0.02154,165469.73,3575.73
2020-05-11,ETHBTC,0.02151,0.02177,0.02097,0.02169,230659.37,4945.04
2020-05-10,ETHBTC,0.02202,0.02297,0.02136,0.02151,324042.39,7098.45
2020-05-09,ETHBTC,0.02157,0.02205,0.02149,0.02202,194237.97,4239.65
2020-05-08,ETHBTC,0.02124,0.02167,0.02118,0.02157,226721.45,4850.37
2020-05-07,ETHBTC,0.02176,0.02227,0.02105,0.02124,334674.16,7287.35
2020-05-06,ETHBTC,0.02275,0.0231,0.0217,0.02176,230881.87,5203.24
2020-05-05,ETHBTC,0.02328,0.02345,0.02272,0.02275,150319.26,3464.15
2020-05-04,ETHBTC,0.02359,0.02368,0.02274,0.02328,208133.33,4823.81
2020-05-03,ETHBTC,0.02384,0.024,0.02342,0.02359,157352.45,3732.32
2020-05-02,ETHBTC,0.02402,0.02417,0.02378,0.02384,175287.11,4203.45
2020-05-01,ETHBTC,0.02389,0.02437,0.02386,0.02402,196096.7,4723.07
2020-04-30,ETHBTC,0.02453,0.02466,0.02361,0.02389,376714.5,9071.66
2020-04-29,ETHBTC,0.02536,0.026,0.0242,0.02453,451019.41,11368.86
2020-04-28,ETHBTC,0.02526,0.02549,0.0251,0.02536,176378.61,4464.35
2020-04-27,ETHBTC,0.02566,0.0257,0.02488,0.02526,228940.97,5793.98
2020-04-26,ETHBTC,0.02576,0.02597,0.0255,0.02566,157571.51,4053.53
2020-04-25,ETHBTC,0.02499,0.02593,0.02492,0.02576,215679.39,5533.12
2020-04-24,ETHBTC,0.0248,0.0251,0.02475,0.02499,215051.11,5368.15
2020-04-23,ETHBTC,0.02565,0.02602,0.0246,0.0248,417281.37,10586.1
2020-04-22,ETHBTC,0.02496,0.02574,0.02489,0.02565,220752.19,5605.44
2020-04-21,ETHBTC,0.02493,0.0253,0.02481,0.02496,194026.32,4855.14
2020-04-20,ETHBTC,0.02528,0.02587,0.02468,0.02493,325383.19,8233.63
2020-04-19,ETHBTC,0.02585,0.02599,0.02493,0.02528,281345.08,7167.03
2020-04-18,ETHBTC,0.02429,0.02603,0.02428,0.02585,296751.14,7452.52
2020-04-17,ETHBTC,0.02426,0.02448,0.02388,0.02429,191044.49,4617.08
2020-04-16,ETHBTC,0.02307,0.02474,0.02289,0.02426,401814.38,9615.1
2020-04-15,ETHBTC,0.02307,0.02339,0.02286,0.02307,269213.2,6244.95
2020-04-14,ETHBTC,0.02286,0.02327,0.02282,0.02307,171933.66,3965.04
2020-04-13,ETHBTC,0.02298,0.02312,0.0226,0.02286,256938.77,5871.78
2020-04-12,ETHBTC,0.02302,0.02321,0.02281,0.02298,169498.44,3900.63
2020-04-11,ETHBTC,0.023,0.02327,0.02274,0.02302,159144.83,3664.94
2020-04-10,ETHBTC,0.02328,0.02334,0.02243,0.023,354426.06,8127.33
2020-04-09,ETHBTC,0.02352,0.02358,0.02321,0.02328,159752.85,3734.46
2020-04-08,ETHBTC,0.02287,0.02359,0.02277,0.02352,245944.44,5721.89
2020-04-07,ETHBTC,0.02337,0.02372,0.02274,0.02287,437355.06,10202.54
2020-04-06,ETHBTC,0.02106,0.02344,0.02101,0.02337,485374.05,10735.16
2020-04-05,ETHBTC,0.02101,0.0212,0.02097,0.02106,112856.48,2380.15
2020-04-04,ETHBTC,0.02099,0.02123,0.02081,0.02101,192421.96,4042.25
2020-04-03,ETHBTC,0.0208,0.02108,0.02076,0.02099,209258.86,4374.9
2020-04-02,ETHBTC,0.02042,0.02111,0.02042,0.0208,292585.44,6049.15
2020-04-01,ETHBTC,0.0207,0.02116,0.02039,0.02042,230553.8,4800.81
2020-03-31,ETHBTC,0.02066,0.02085,0.02041,0.0207,167722.33,3455.91
2020-03-30,ETHBTC,0.02116,0.0213,0.02046,0.02066,234769.35,4897.01
2020-03-29,ETHBTC,0.021,0.02127,0.02087,0.02116,151940.32,3199.71
