Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT
2020-05-12 01-AM,LTCUSDT,41.58,41.62,41.32,41.48,6639.87,275056.73
2020-05-12 12-AM,LTCUSDT,41.51,41.99,41.31,41.58,19185.66,799085.94
2020-05-11 11-PM,LTCUSDT,41.37,41.99,41.07,41.51,34379.4,1428450.37
2020-05-11 10-PM,LTCUSDT,41.28,41.54,41.08,41.37,15132.7,625448.87
2020-05-11 09-PM,LTCUSDT,41.39,41.9,40.67,41.28,34281.64,1415298.6
2020-05-11 08-PM,LTCUSDT,41.46,41.73,41.18,41.39,48172.74,1998277.26
2020-05-11 07-PM,LTCUSDT,40.6,41.93,39.85,41.46,100591.63,4107890.07
2020-05-11 06-PM,LTCUSDT,40.69,40.82,39.37,40.6,102837.22,4124827.76
2020-05-11 05-PM,LTCUSDT,40.58,41.07,40.29,40.69,46726.65,1903630.67
2020-05-11 04-PM,LTCUSDT,41.83,41.97,39.67,40.58,114687.29,4673503.54
2020-05-11 03-PM,LTCUSDT,41.77,42.04,41.54,41.83,22925.34,958510.22
2020-05-11 02-PM,LTCUSDT,41.86,42.05,41.61,41.77,15902.1,665137.59
2020-05-11 01-PM,LTCUSDT,41.83,42.23,41.58,41.86,36902.19,1546066.06
2020-05-11 12-PM,LTCUSDT,42.07,42.9,41.75,41.83,74373.68,3147552.32
2020-05-11 11-AM,LTCUSDT,41.69,42.28,41.6,42.07,27897.33,1169944.54
2020-05-11 10-AM,LTCUSDT,41.03,41.9,41,41.69,46397.58,1931906.53
2020-05-11 09-AM,LTCUSDT,41.38,41.38,40.92,41.03,27469.31,1129418.37
2020-05-11 08-AM,LTCUSDT,41.51,41.64,40.95,41.38,35760.87,1473047.11
2020-05-11 07-AM,LTCUSDT,41.61,41.73,40.9,41.51,46881.93,1933979.05
2020-05-11 06-AM,LTCUSDT,41.77,41.87,41.61,41.61,10963.61,457542.6
2020-05-11 05-AM,LTCUSDT,41.58,41.85,41.48,41.77,15896.2,662918.84
2020-05-11 04-AM,LTCUSDT,41.85,42,41.47,41.58,18257.14,762711.37
2020-05-11 03-AM,LTCUSDT,42.21,42.37,41.78,41.85,27226.0,1143580.84
2020-05-11 02-AM,LTCUSDT,42.12,42.3,42,42.21,10225.03,431232.83
2020-05-11 01-AM,LTCUSDT,42.45,42.49,42.06,42.12,7814.83,330000.71
2020-05-11 12-AM,LTCUSDT,42.06,42.83,41.96,42.45,33941.28,1438354.24
2020-05-10 11-PM,LTCUSDT,42.05,42.28,41.39,42.06,39003.71,1636010.48
2020-05-10 10-PM,LTCUSDT,42.34,42.49,41.94,42.05,15522.83,654664.52
2020-05-10 09-PM,LTCUSDT,41.82,42.67,41.59,42.34,25524.16,1075954.54
2020-05-10 08-PM,LTCUSDT,41.16,42.35,41.16,41.82,61532.43,2581362.43
2020-05-10 07-PM,LTCUSDT,41.04,41.39,41,41.16,27495.54,1132792.56
2020-05-10 06-PM,LTCUSDT,40.85,41.35,40.73,41.04,36867.21,1512165.52
2020-05-10 05-PM,LTCUSDT,39.9,41.11,39.9,40.85,67595.11,2754122.29
2020-05-10 04-PM,LTCUSDT,41.73,41.86,39.81,39.9,126079.11,5145272.03
2020-05-10 03-PM,LTCUSDT,41.8,42.18,41.31,41.73,42978.58,1794640.6
2020-05-10 02-PM,LTCUSDT,42.5,42.57,41.67,41.8,33269.5,1400812.84
2020-05-10 01-PM,LTCUSDT,42.28,42.6,42.21,42.5,12443.44,528225.42
2020-05-10 12-PM,LTCUSDT,42.37,42.43,42.15,42.28,10044.37,424760.58
2020-05-10 11-AM,LTCUSDT,42.65,42.68,42.09,42.37,18666.64,789802.68
2020-05-10 10-AM,LTCUSDT,42.3,42.69,42.09,42.65,20682.95,876206.13
2020-05-10 09-AM,LTCUSDT,42.52,42.7,42.27,42.3,14192.57,603698.55
2020-05-10 08-AM,LTCUSDT,42.7,42.92,42.44,42.52,34842.25,1485706.4
2020-05-10 07-AM,LTCUSDT,41.96,42.76,41.92,42.7,40329.81,1712086.78
2020-05-10 06-AM,LTCUSDT,41.93,42.11,41.66,41.96,20502.38,859969.98
2020-05-10 05-AM,LTCUSDT,41.81,42.01,41.62,41.93,23100.77,966312.43
2020-05-10 04-AM,LTCUSDT,41.8,42.14,41.34,41.81,62233.05,2595917.23
2020-05-10 03-AM,LTCUSDT,42.07,42.25,40.97,41.8,95514.42,3990182.55
2020-05-10 02-AM,LTCUSDT,42.7,42.74,42.01,42.07,56956.81,2410963.91
2020-05-10 01-AM,LTCUSDT,42.64,43.31,41.96,42.7,118495.07,5048471.51
2020-05-10 12-AM,LTCUSDT,46.95,47.04,39.4,42.64,400208.45,17017865.81
2020-05-09 11-PM,LTCUSDT,47.11,47.41,46.9,46.95,17712.29,834699.63
2020-05-09 10-PM,LTCUSDT,47.3,47.57,46.89,47.11,23426.51,1104332.77
2020-05-09 09-PM,LTCUSDT,47.63,47.67,47.28,47.3,13091.9,621814.9
