Open time,Open,High,Low,Close,Volume
2018-01-01 01:00:00,8.55,8.55,8.13,8.22,74479.77
2018-01-01 03:00:00,8.22,8.43,8.2,8.34,61864.17
2018-01-01 05:00:00,8.36,8.7,8.34,8.44,36289.57
2018-01-01 07:00:00,8.45,8.66,8.35,8.36,64015.13
2018-01-01 09:00:00,8.39,8.53,8.33,8.44,39114.16
2018-01-01 11:00:00,8.44,8.44,8.07,8.16,74491.75
2018-01-01 13:00:00,8.18,8.33,7.93,7.95,76865.71
2018-01-01 15:00:00,7.96,8.2,7.8,8.11,79896.13
2018-01-01 17:00:00,8.12,8.18,8.0,8.0,36233.16
2018-01-01 19:00:00,8.0,8.15,7.96,8.12,25682.66
2018-01-01 21:00:00,8.12,8.35,8.07,8.32,34327.05
2018-01-01 23:00:00,8.3,8.45,8.29,8.45,51079.58
2018-01-02 01:00:00,8.45,8.66,8.35,8.45,104801.7
2018-01-02 03:00:00,8.47,8.65,8.34,8.4,140585.54
2018-01-02 05:00:00,8.4,8.43,8.09,8.25,88858.24
2018-01-02 07:00:00,8.25,8.32,8.12,8.31,46711.5
2018-01-02 09:00:00,8.31,8.47,8.29,8.45,52194.07
2018-01-02 11:00:00,8.45,8.54,8.38,8.42,54146.2
2018-01-02 13:00:00,8.44,8.7,8.43,8.69,123398.42
2018-01-02 15:00:00,8.69,8.75,8.46,8.56,81355.31
2018-01-02 17:00:00,8.56,8.69,8.52,8.65,87237.66
2018-01-02 19:00:00,8.65,8.9,8.23,8.89,240048.21
2018-01-02 21:00:00,8.89,9.11,8.3,8.8,178685.42
2018-01-02 23:00:00,8.82,8.98,8.71,8.72,64611.15
2018-01-03 01:00:00,8.72,8.85,8.7,8.7,73346.04
2018-01-03 03:00:00,8.7,8.77,8.5,8.69,86639.59
2018-01-03 05:00:00,8.69,8.83,8.56,8.56,60925.11
2018-01-03 07:00:00,8.56,8.69,8.56,8.62,46678.2
2018-01-03 09:00:00,8.62,8.69,8.5,8.5,83715.11
2018-01-03 11:00:00,8.5,8.6,8.27,8.6,89208.42
2018-01-03 13:00:00,8.6,8.8,8.5,8.79,98863.1
2018-01-03 15:00:00,8.79,8.85,8.58,8.62,104211.38
2018-01-03 17:00:00,8.62,8.81,8.6,8.75,72998.22
2018-01-03 19:00:00,8.75,8.94,8.68,8.8,83416.99
2018-01-03 21:00:00,8.8,8.94,8.75,8.91,34391.52
2018-01-03 23:00:00,8.94,9.47,8.89,9.3,112998.97
2018-01-04 01:00:00,9.3,9.39,8.56,8.8,127676.7
2018-01-04 03:00:00,8.81,9.46,8.8,9.23,77055.31
2018-01-04 05:00:00,9.2,9.24,8.9,8.97,46686.93
2018-01-04 07:00:00,8.97,9.2,8.94,9.09,77013.49
2018-01-04 09:00:00,9.09,9.2,8.73,9.03,96597.47
2018-01-04 11:00:00,9.06,9.12,8.8,8.95,66819.26
2018-01-04 13:00:00,8.96,9.07,8.75,8.92,67817.48
2018-01-04 15:00:00,8.92,9.65,8.87,8.98,112234.42
2018-01-04 17:00:00,8.98,9.1,8.88,8.97,89027.88
2018-01-04 19:00:00,8.99,9.39,8.85,9.08,110389.53
2018-01-04 21:00:00,9.13,9.39,8.96,9.31,47475.68
2018-01-04 23:00:00,9.31,9.31,9.07,9.14,45700.79
2018-01-05 01:00:00,9.14,9.2,8.97,9.08,44308.52
2018-01-05 03:00:00,9.08,9.35,9.06,9.3,76369.4
2018-01-05 05:00:00,9.3,9.43,9.17,9.43,89512.74
2018-01-05 07:00:00,9.4,10.5,9.4,10.13,187112.16
2018-01-05 09:00:00,10.13,12.1,10.13,11.8,411836.86
2018-01-05 11:00:00,11.8,12.74,10.74,12.74,284621.54
2018-01-05 13:00:00,12.74,13.59,12.0,13.2,263459.91
2018-01-05 15:00:00,13.39,14.88,12.3,13.58,437971.5
2018-01-05 17:00:00,13.6,13.75,11.0,12.89,230515.05
2018-01-05 19:00:00,12.89,14.13,12.89,13.75,139422.93
2018-01-05 21:00:00,13.74,14.93,13.6,14.9,204907.42
2018-01-05 23:00:00,14.9,16.82,14.52,14.89,394939.01
2018-01-06 01:00:00,14.89,18.5,14.7,17.51,406265.55
2018-01-06 03:00:00,17.51,19.5,14.8,16.0,449071.86
2018-01-06 05:00:00,15.96,17.06,14.86,16.18,183400.97
2018-01-06 07:00:00,16.1,16.27,14.83,14.83,141845.22
2018-01-06 09:00:00,14.83,16.0,14.7,14.98,115347.66
2018-01-06 11:00:00,14.98,16.3,14.91,16.12,116246.47
2018-01-06 13:00:00,16.1,17.64,15.88,17.3,209808.26
2018-01-06 15:00:00,17.45,19.79,17.0,18.0,423113.02
2018-01-06 17:00:00,18.0,19.7,17.2,19.7,213864.31
2018-01-06 19:00:00,19.7,22.49,19.69,20.3,453069.17
2018-01-06 21:00:00,20.01,23.6,19.95,22.04,261836.59
2018-01-06 23:00:00,22.04,23.0,20.83,22.6,156618.14
2018-01-07 01:00:00,22.6,22.66,20.28,20.9,201510.2
2018-01-07 03:00:00,20.9,21.18,19.0,20.5,188030.14
2018-01-07 05:00:00,20.5,22.48,20.12,20.63,155280.17
2018-01-07 07:00:00,20.68,20.76,19.56,20.0,119736.35
2018-01-07 09:00:00,20.03,22.4,20.0,21.75,149996.49
2018-01-07 11:00:00,21.75,22.2,20.8,22.0,95123.04
2018-01-07 13:00:00,22.0,22.1,20.8,20.95,64621.43
2018-01-07 15:00:00,20.95,21.4,19.66,20.1,114353.76
2018-01-07 17:00:00,20.1,20.17,18.57,18.61,157294.46
2018-01-07 19:00:00,18.6,19.09,18.05,18.49,136569.27
2018-01-07 21:00:00,18.49,19.9,18.11,18.76,96814.0
2018-01-07 23:00:00,18.76,19.45,18.41,18.59,64435.18
2018-01-08 01:00:00,18.54,19.09,18.05,18.05,112205.16
2018-01-08 03:00:00,18.05,18.36,17.35,17.5,109317.76
2018-01-08 05:00:00,17.48,18.48,16.59,18.3,178978.68
2018-01-08 07:00:00,18.35,18.8,17.6,17.61,100312.77
2018-01-08 09:00:00,17.8,18.16,16.51,16.7,179725.89
2018-01-08 11:00:00,16.7,18.15,16.5,17.91,128403.65
2018-01-08 13:00:00,17.83,18.06,16.5,16.63,102081.15
2018-01-08 15:00:00,16.63,17.33,14.0,16.48,687080.93
2018-01-08 17:00:00,16.45,18.33,16.45,17.84,228141.31
2018-01-08 19:00:00,17.82,19.01,17.6,19.0,79456.43
2018-01-08 21:00:00,19.1,19.3,17.05,18.44,127904.54
2018-01-08 23:00:00,18.38,18.72,17.82,18.0,78456.95
2018-01-09 01:00:00,18.04,19.45,17.88,18.99,118510.7
2018-01-09 03:00:00,18.99,20.61,18.8,19.5,172380.63
2018-01-09 05:00:00,19.4,19.87,18.28,18.68,128824.17
2018-01-09 07:00:00,18.66,19.17,18.1,19.1,93099.67
2018-01-09 09:00:00,19.08,19.45,18.27,18.39,95606.81
2018-01-09 11:00:00,18.34,18.68,17.22,18.34,144562.54
2018-01-09 13:00:00,18.34,18.35,16.85,16.97,135294.69
2018-01-09 15:00:00,16.99,18.07,16.79,17.5,153907.93
2018-01-09 17:00:00,17.5,18.2,17.45,17.98,64009.13
2018-01-09 19:00:00,18.01,18.13,17.4,17.4,39667.31
2018-01-09 21:00:00,17.4,17.65,17.3,17.3,46151.69
2018-01-09 23:00:00,17.3,17.57,16.43,17.4,117262.68
2018-01-10 01:00:00,17.4,17.56,16.13,16.3,89045.91
2018-01-10 03:00:00,16.3,16.92,16.17,16.28,62306.48
2018-01-10 05:00:00,16.27,16.7,15.79,16.27,121708.58
2018-01-10 07:00:00,16.27,16.48,15.5,15.5,91303.08
2018-01-10 09:00:00,15.5,16.23,14.6,16.1,258660.54
2018-01-10 11:00:00,16.18,16.4,15.6,16.3,101865.22
2018-01-10 13:00:00,16.3,16.38,15.43,15.68,99407.13
2018-01-10 15:00:00,15.68,16.4,15.0,16.2,121929.98
2018-01-10 17:00:00,16.18,16.98,16.03,16.65,102809.17
2018-01-10 19:00:00,16.68,16.8,16.28,16.28,30330.19
2018-01-10 21:00:00,16.32,16.85,16.16,16.68,33552.15
2018-01-10 23:00:00,16.66,17.5,16.26,17.5,59732.72
2018-01-11 01:00:00,17.5,17.7,17.0,17.53,106408.06
2018-01-11 03:00:00,17.54,17.55,14.65,15.11,216782.62
2018-01-11 05:00:00,15.11,16.5,13.66,15.04,468219.5
2018-01-11 07:00:00,15.04,16.75,15.0,16.69,152210.74
2018-01-11 09:00:00,16.69,17.65,16.69,16.88,187506.26
2018-01-11 11:00:00,16.88,19.2,16.81,19.2,292963.76
2018-01-11 13:00:00,19.2,19.49,17.82,18.55,341355.76
2018-01-11 15:00:00,18.38,19.36,18.38,18.98,202324.63
2018-01-11 17:00:00,18.98,20.09,18.9,19.05,277407.95
2018-01-11 19:00:00,19.13,20.39,18.92,20.32,204080.16
2018-01-11 21:00:00,20.32,23.11,19.9,22.48,582297.88
2018-01-11 23:00:00,22.48,22.98,18.6,21.2,510809.51
2018-01-12 01:00:00,21.1,22.0,19.1,21.29,304503.83
2018-01-12 03:00:00,21.29,25.0,21.2,25.0,616766.82
2018-01-12 05:00:00,25.0,25.18,22.5,24.16,389584.13
2018-01-12 07:00:00,24.18,24.4,22.2,22.65,279692.17
2018-01-12 09:00:00,22.65,23.47,20.71,21.94,236689.6
2018-01-12 11:00:00,21.94,22.79,21.01,21.35,161179.18
2018-01-12 13:00:00,21.35,21.9,20.41,21.3,156118.54
2018-01-12 15:00:00,21.2,22.3,20.75,21.29,165096.01
2018-01-12 17:00:00,21.29,23.41,21.1,23.28,228439.1
2018-01-12 19:00:00,23.25,23.68,22.26,23.4,149054.43
2018-01-12 21:00:00,23.4,23.4,22.26,22.27,98024.0
2018-01-12 23:00:00,22.27,22.46,21.3,22.2,117190.56
2018-01-13 01:00:00,22.2,22.8,21.7,21.97,89465.33
2018-01-13 03:00:00,21.97,22.55,21.61,22.19,80503.79
2018-01-13 05:00:00,22.2,22.21,21.04,21.53,108572.72
2018-01-13 07:00:00,21.55,22.0,21.21,21.7,74645.96
2018-01-13 09:00:00,21.68,21.95,21.38,21.8,71082.5
2018-01-13 11:00:00,21.8,22.9,21.6,22.63,95327.39
2018-01-13 13:00:00,22.63,23.5,22.57,23.05,153176.51
2018-01-13 15:00:00,23.05,23.14,21.9,22.37,141922.01
2018-01-13 17:00:00,22.31,22.4,21.58,21.92,89640.87
2018-01-13 19:00:00,21.87,22.29,21.4,21.55,69991.77
2018-01-13 21:00:00,21.49,21.68,21.4,21.5,33688.47
2018-01-13 23:00:00,21.51,22.48,21.51,22.02,72438.39
2018-01-14 01:00:00,22.03,22.1,21.57,21.72,37159.97
2018-01-14 03:00:00,21.72,21.86,21.28,21.51,48032.69
2018-01-14 05:00:00,21.51,21.51,20.1,21.1,172051.19
2018-01-14 07:00:00,21.04,21.45,20.45,20.99,69776.82
2018-01-14 09:00:00,21.01,21.34,20.4,20.49,55480.25
2018-01-14 11:00:00,20.49,21.0,19.7,20.0,149330.08
2018-01-14 13:00:00,19.9,20.4,18.35,20.24,307197.03
2018-01-14 15:00:00,20.33,20.33,18.22,18.98,195614.79
2018-01-14 17:00:00,18.98,20.0,18.21,19.75,164434.88
2018-01-14 19:00:00,19.75,20.3,19.1,19.98,66672.94
2018-01-14 21:00:00,19.98,20.74,19.8,20.41,45373.77
2018-01-14 23:00:00,20.49,20.9,20.2,20.45,72958.92
2018-01-15 01:00:00,20.45,21.0,20.41,20.62,56616.05
2018-01-15 03:00:00,20.62,22.01,20.59,21.85,155113.99
2018-01-15 05:00:00,21.85,22.9,21.65,21.84,176991.84
2018-01-15 07:00:00,21.84,23.23,21.8,22.7,254075.44
2018-01-15 09:00:00,22.6,22.9,22.0,22.6,165721.62
2018-01-15 11:00:00,22.76,22.95,19.41,20.65,465666.48
2018-01-15 13:00:00,20.65,20.8,19.01,19.46,406644.51
2018-01-15 15:00:00,19.46,20.92,19.05,20.72,226772.93
2018-01-15 17:00:00,20.8,21.14,19.7,19.83,145118.18
2018-01-15 19:00:00,19.8,20.3,19.43,19.87,89456.43
2018-01-15 21:00:00,19.81,20.27,19.3,20.0,79872.28
2018-01-15 23:00:00,20.0,20.06,19.1,19.34,66507.02
2018-01-16 01:00:00,19.44,19.45,16.12,17.74,525411.99
2018-01-16 03:00:00,17.75,18.4,17.0,17.59,372326.07
2018-01-16 05:00:00,17.6,18.2,17.37,17.68,119722.83
2018-01-16 07:00:00,17.7,17.8,15.6,15.9,293910.91
2018-01-16 09:00:00,15.85,16.22,13.7,13.7,1158028.39
2018-01-16 11:00:00,13.7,16.2,9.89,16.07,2428477.51
2018-01-16 13:00:00,16.0,16.12,13.3,13.65,925542.74
2018-01-16 15:00:00,13.65,15.2,13.65,15.14,728682.17
2018-01-16 17:00:00,15.12,15.14,13.1,13.1,423793.67
2018-01-16 19:00:00,13.1,14.48,12.34,13.86,667271.95
2018-01-16 21:00:00,13.86,14.04,11.25,11.5,709360.86
2018-01-16 23:00:00,11.57,14.05,10.2,13.2,1580902.36
2018-01-17 01:00:00,13.03,14.37,12.6,12.92,951986.67
2018-01-17 03:00:00,12.92,13.3,10.82,12.15,1031609.29
2018-01-17 05:00:00,12.09,12.8,11.3,12.25,605016.56
2018-01-17 07:00:00,12.26,13.6,12.2,12.71,644821.69
2018-01-17 09:00:00,12.75,12.89,11.63,12.14,394323.64
2018-01-17 11:00:00,12.14,12.25,11.23,11.42,611328.41
2018-01-17 13:00:00,11.42,11.97,10.88,10.89,388153.42
2018-01-17 15:00:00,10.88,11.11,9.4,9.91,1168753.94
2018-01-17 17:00:00,9.91,12.42,9.9,11.46,1329344.23
2018-01-17 19:00:00,11.55,12.32,10.9,11.93,380952.57
2018-01-17 21:00:00,11.95,15.1,11.75,14.94,1238613.72
2018-01-17 23:00:00,14.9,15.7,12.61,14.2,1226793.03
2018-01-18 01:00:00,14.12,15.77,13.71,15.4,965999.55
2018-01-18 03:00:00,15.41,15.9,14.14,14.5,973189.02
2018-01-18 05:00:00,14.5,15.12,13.02,13.82,699622.83
2018-01-18 07:00:00,13.84,14.5,13.22,13.4,533847.78
2018-01-18 09:00:00,13.4,14.65,13.35,14.27,486969.68
