Open time,Open,High,Low,Close,Volume
2018-07-02 02:00:00,8.11,9.17,7.88,8.97,8241723.99
2018-07-03 02:00:00,8.97,9.44,8.61,8.83,11219476.51
2018-07-04 02:00:00,8.83,9.4,8.71,8.91,6569646.07
2018-07-05 02:00:00,8.91,9.22,8.66,8.83,8412873.07
2018-07-06 02:00:00,8.83,8.87,8.29,8.63,4527731.38
2018-07-07 02:00:00,8.64,8.89,8.35,8.83,2062917.31
2018-07-08 02:00:00,8.83,8.98,8.65,8.68,9139546.76
2018-07-09 02:00:00,8.68,8.72,7.5,7.71,8872131.76
2018-07-10 02:00:00,7.7,7.82,7.05,7.12,6524620.99
2018-07-11 02:00:00,7.12,7.4,6.72,7.16,12859537.82
2018-07-12 02:00:00,7.17,7.17,6.54,6.92,14581793.54
2018-07-13 02:00:00,6.92,7.22,6.69,6.89,14260068.83
2018-07-14 02:00:00,6.9,7.09,6.76,6.92,12584240.6
2018-07-15 02:00:00,6.93,7.53,6.85,7.41,13645106.84
2018-07-16 02:00:00,7.4,8.18,7.22,8.09,15310182.77
2018-07-17 02:00:00,8.08,8.97,7.83,8.78,15072014.32
2018-07-18 02:00:00,8.78,9.37,8.43,8.6,15368313.36
2018-07-19 02:00:00,8.6,8.76,8.15,8.42,12014171.9
2018-07-20 02:00:00,8.42,8.61,7.71,7.86,11299468.79
2018-07-21 02:00:00,7.86,8.24,7.57,8.0,8592901.02
2018-07-22 02:00:00,7.99,8.27,7.71,7.85,7179671.84
2018-07-23 02:00:00,7.85,8.41,7.78,7.94,5692633.2
2018-07-24 02:00:00,7.93,8.7,7.72,8.59,11998912.88
2018-07-25 02:00:00,8.58,9.14,8.34,8.53,14376822.84
2018-07-26 02:00:00,8.53,8.86,8.19,8.3,13521194.47
2018-07-27 02:00:00,8.3,8.54,8.0,8.43,14149475.26
2018-07-28 02:00:00,8.43,8.45,8.12,8.35,12344279.7
2018-07-29 02:00:00,8.35,8.48,8.13,8.31,11644873.39
2018-07-30 02:00:00,8.32,8.35,7.4,7.74,11922994.36
2018-07-31 02:00:00,7.73,7.75,7.1,7.33,10844162.96
2018-08-01 02:00:00,7.33,7.39,6.88,7.22,9579047.93
2018-08-02 02:00:00,7.21,7.32,6.87,7.01,8516504.08
2018-08-03 02:00:00,7.01,7.25,6.85,7.18,7840361.16
2018-08-04 02:00:00,7.18,7.32,6.88,6.98,2585204.18
2018-08-05 02:00:00,6.98,7.09,6.9,7.04,9206157.48
2018-08-06 02:00:00,7.03,7.16,6.93,7.06,8405635.46
