Open time,Open,High,Low,Close,Volume
2018-07-02 02:00:00,8.11,8.13,8.06,8.07,178369.55
2018-07-02 02:30:00,8.07,8.1,8.0,8.04,190588.86
2018-07-02 03:00:00,8.05,8.07,8.02,8.04,177066.58
2018-07-02 03:30:00,8.04,8.06,7.99,8.0,176006.7
2018-07-02 04:00:00,8.0,8.04,7.99,8.03,183069.07
2018-07-02 04:30:00,8.02,8.06,8.02,8.03,193139.88
2018-07-02 05:00:00,8.03,8.04,8.01,8.01,173662.52
2018-07-02 05:30:00,8.03,8.03,8.0,8.02,143241.74
2018-07-02 06:00:00,8.02,8.03,7.96,7.97,217377.17
2018-07-02 06:30:00,7.97,7.97,7.9,7.95,254948.87
2018-07-02 07:00:00,7.94,7.97,7.93,7.95,198918.54
2018-07-02 07:30:00,7.95,7.95,7.88,7.91,205217.04
2018-07-02 08:00:00,7.9,7.96,7.89,7.94,198397.31
2018-07-02 08:30:00,7.94,7.98,7.91,7.95,178729.41
2018-07-02 09:00:00,7.95,8.0,7.94,7.99,157684.29
2018-07-02 09:30:00,7.99,8.03,7.96,7.99,152067.63
2018-07-02 10:00:00,7.99,8.05,7.98,7.99,194148.51
2018-07-02 10:30:00,7.99,8.01,7.93,7.97,156809.32
2018-07-02 11:00:00,7.98,7.98,7.94,7.94,177597.38
2018-07-02 11:30:00,7.94,7.97,7.94,7.97,168497.68
2018-07-02 12:00:00,7.97,8.02,7.96,7.99,208124.14
2018-07-02 12:30:00,7.99,8.04,7.98,7.99,171451.2
2018-07-02 13:00:00,7.99,8.05,7.99,8.02,192985.58
2018-07-02 13:30:00,8.01,8.04,8.01,8.02,193244.12
2018-07-02 14:00:00,8.01,8.03,7.99,8.03,158190.26
2018-07-02 14:30:00,8.03,8.04,8.01,8.03,202838.65
2018-07-02 15:00:00,8.03,8.46,8.03,8.38,348886.95
2018-07-02 15:30:00,8.34,8.84,8.3,8.7,577528.97
2018-07-02 16:00:00,8.7,9.03,8.7,8.82,534715.82
2018-07-02 16:30:00,8.82,8.94,8.75,8.91,209078.74
2018-07-02 17:00:00,8.89,9.08,8.89,8.92,285023.31
