Open time,Open,High,Low,Close,Volume
2018-07-02 02:00:00,8.11,8.13,7.99,8.02,1415144.9
2018-07-02 06:00:00,8.02,8.03,7.88,7.99,1563340.26
2018-07-02 10:00:00,7.99,8.05,7.93,8.02,1462857.93
2018-07-02 14:00:00,8.01,9.08,7.99,8.93,2461544.11
2018-07-02 18:00:00,8.93,9.17,8.82,9.01,860190.62
2018-07-02 22:00:00,9.01,9.14,8.88,8.97,478646.17
2018-07-03 02:00:00,8.97,9.44,8.88,9.28,1464593.16
2018-07-03 06:00:00,9.28,9.38,9.0,9.2,2039678.26
2018-07-03 10:00:00,9.2,9.2,8.7,9.02,2149156.08
2018-07-03 14:00:00,9.01,9.05,8.81,9.0,1825408.1
2018-07-03 18:00:00,9.0,9.11,8.82,8.99,1893177.93
2018-07-03 22:00:00,8.99,9.07,8.61,8.83,1847462.98
2018-07-04 02:00:00,8.83,8.85,8.71,8.75,94711.12
2018-07-04 10:00:00,8.74,9.02,8.72,9.02,1427222.16
2018-07-04 14:00:00,9.0,9.4,9.0,9.13,2032491.68
2018-07-04 18:00:00,9.13,9.17,8.96,9.05,1524420.04
2018-07-04 22:00:00,9.06,9.1,8.82,8.91,1490801.07
2018-07-05 02:00:00,8.91,9.17,8.8,9.02,1490278.39
2018-07-05 06:00:00,9.03,9.12,8.94,9.02,1134805.3
2018-07-05 10:00:00,9.02,9.22,8.83,8.97,1477978.92
2018-07-05 14:00:00,8.97,9.1,8.76,8.95,1547331.09
2018-07-05 18:00:00,8.96,9.05,8.66,8.72,1638168.1
2018-07-05 22:00:00,8.72,8.9,8.67,8.83,1124311.27
2018-07-06 02:00:00,8.83,8.87,8.73,8.74,1117552.55
2018-07-06 06:00:00,8.74,8.75,8.29,8.39,1424635.74
2018-07-06 10:00:00,8.39,8.6,8.38,8.54,639776.91
2018-07-06 14:00:00,8.55,8.77,8.5,8.56,533551.1
2018-07-06 18:00:00,8.56,8.7,8.5,8.58,477851.59
2018-07-06 22:00:00,8.58,8.66,8.46,8.63,334363.49
2018-07-07 02:00:00,8.64,8.73,8.55,8.63,315387.67
2018-07-07 06:00:00,8.63,8.69,8.55,8.62,287155.08
2018-07-07 10:00:00,8.63,8.63,8.5,8.56,223051.51
2018-07-07 14:00:00,8.56,8.62,8.37,8.44,525594.47
2018-07-07 18:00:00,8.44,8.49,8.37,8.42,190600.2
2018-07-07 22:00:00,8.42,8.89,8.35,8.83,521128.38
2018-07-08 02:00:00,8.83,8.98,8.78,8.8,1548572.78
2018-07-08 06:00:00,8.81,8.84,8.76,8.83,1600131.61
2018-07-08 10:00:00,8.83,8.84,8.77,8.81,1639803.49
2018-07-08 14:00:00,8.8,8.95,8.74,8.79,1610448.89
2018-07-08 18:00:00,8.79,8.84,8.71,8.75,1431512.09
2018-07-08 22:00:00,8.75,8.83,8.65,8.68,1309077.9
2018-07-09 02:00:00,8.68,8.72,8.47,8.6,1648577.47
2018-07-09 06:00:00,8.61,8.67,8.52,8.62,1642209.79
2018-07-09 10:00:00,8.62,8.63,8.51,8.59,1654615.66
2018-07-09 14:00:00,8.59,8.7,8.55,8.61,1669682.4
2018-07-09 18:00:00,8.61,8.62,8.01,8.2,1184373.22
2018-07-09 22:00:00,8.2,8.31,7.5,7.71,1072673.22
2018-07-10 02:00:00,7.7,7.82,7.38,7.58,1416685.14
2018-07-10 06:00:00,7.57,7.66,7.37,7.62,892839.08
2018-07-10 10:00:00,7.62,7.67,7.3,7.45,1137088.67
2018-07-10 14:00:00,7.45,7.51,7.07,7.29,1437136.63
2018-07-10 18:00:00,7.29,7.39,7.18,7.33,713489.53
2018-07-10 22:00:00,7.33,7.53,7.05,7.12,927381.94
2018-07-11 02:00:00,7.12,7.4,7.03,7.04,807371.77
2018-07-11 06:00:00,7.04,7.1,6.72,6.95,2695346.76
2018-07-11 10:00:00,6.95,7.26,6.93,7.18,2638497.15
2018-07-11 14:00:00,7.18,7.29,7.0,7.03,2275647.58
2018-07-11 18:00:00,7.03,7.07,6.84,6.94,2298434.89
2018-07-11 22:00:00,6.94,7.18,6.9,7.16,2144239.67
2018-07-12 02:00:00,7.17,7.17,6.88,7.0,2273821.05
2018-07-12 06:00:00,7.0,7.02,6.57,6.64,2893955.38
2018-07-12 10:00:00,6.65,6.8,6.54,6.7,2474454.53
2018-07-12 14:00:00,6.68,6.8,6.67,6.75,2265998.34
2018-07-12 18:00:00,6.75,6.85,6.71,6.78,2219196.35
2018-07-12 22:00:00,6.78,6.97,6.58,6.92,2454367.89
2018-07-13 02:00:00,6.92,7.22,6.86,7.17,2585832.6
2018-07-13 06:00:00,7.17,7.21,7.03,7.1,2309061.91
2018-07-13 10:00:00,7.1,7.13,7.04,7.1,2360494.97
2018-07-13 14:00:00,7.1,7.2,7.03,7.08,2081295.68
2018-07-13 18:00:00,7.09,7.16,6.88,6.9,2334257.93
2018-07-13 22:00:00,6.9,6.95,6.69,6.89,2589125.74
2018-07-14 02:00:00,6.9,7.06,6.8,6.85,2107835.65
2018-07-14 06:00:00,6.86,6.94,6.83,6.88,2132067.1
2018-07-14 10:00:00,6.88,6.94,6.76,6.92,1950723.48
2018-07-14 14:00:00,6.92,6.97,6.88,6.94,2329734.99
2018-07-14 18:00:00,6.93,7.09,6.85,6.97,2133978.76
2018-07-14 22:00:00,6.96,7.09,6.87,6.92,1929900.62
2018-07-15 02:00:00,6.93,6.95,6.85,6.92,2211948.68
2018-07-15 06:00:00,6.92,7.02,6.91,6.99,2049152.13
2018-07-15 10:00:00,6.99,7.19,6.98,7.16,2335673.47
2018-07-15 14:00:00,7.16,7.51,7.08,7.43,2682684.53
2018-07-15 18:00:00,7.43,7.47,7.36,7.4,2222058.84
2018-07-15 22:00:00,7.4,7.53,7.33,7.41,2143589.19
2018-07-16 02:00:00,7.4,7.43,7.22,7.28,2169232.33
2018-07-16 06:00:00,7.28,7.4,7.24,7.34,2269399.1
2018-07-16 10:00:00,7.34,7.92,7.28,7.81,3083336.96
2018-07-16 14:00:00,7.81,8.08,7.7,7.96,2876623.73
2018-07-16 18:00:00,7.96,8.18,7.88,8.09,2574946.52
2018-07-16 22:00:00,8.08,8.15,7.94,8.09,2336644.13
2018-07-17 02:00:00,8.08,8.13,7.96,8.09,2330605.57
2018-07-17 06:00:00,8.08,8.14,7.83,7.93,2581451.6
2018-07-17 10:00:00,7.92,8.02,7.86,7.88,2326004.42
2018-07-17 14:00:00,7.88,8.13,7.85,8.1,2290661.15
2018-07-17 18:00:00,8.1,8.97,7.95,8.75,3526677.0
2018-07-17 22:00:00,8.75,8.96,8.75,8.78,2016614.58
2018-07-18 02:00:00,8.78,9.37,8.77,9.11,2745711.59
