Open time,Open,High,Low,Close,Volume
2018-07-02 02:00:00,0.46,0.5,0.45,0.49,39873781.8
2018-07-03 02:00:00,0.49,0.52,0.48,0.48,44333181.6
2018-07-04 02:00:00,0.48,0.51,0.48,0.49,26722886.3
2018-07-05 02:00:00,0.49,0.5,0.47,0.48,30689285.9
2018-07-06 02:00:00,0.48,0.48,0.46,0.48,26805008.7
2018-07-07 02:00:00,0.48,0.49,0.46,0.48,28584029.2
2018-07-08 02:00:00,0.49,0.49,0.48,0.48,31480979.3
2018-07-09 02:00:00,0.48,0.48,0.47,0.47,26690553.6
2018-07-10 02:00:00,0.47,0.47,0.44,0.44,30651668.1
2018-07-11 02:00:00,0.44,0.45,0.44,0.45,28635928.2
2018-07-12 02:00:00,0.45,0.45,0.42,0.44,30380599.5
2018-07-13 02:00:00,0.44,0.45,0.43,0.44,33168644.3
2018-07-14 02:00:00,0.44,0.44,0.43,0.44,27141582.3
2018-07-15 02:00:00,0.44,0.45,0.44,0.45,33882949.8
2018-07-16 02:00:00,0.45,0.49,0.44,0.48,41419524.1
2018-07-17 02:00:00,0.48,0.52,0.47,0.51,48166296.2
2018-07-18 02:00:00,0.51,0.53,0.48,0.49,48747453.6
2018-07-19 02:00:00,0.49,0.5,0.47,0.48,36600560.0
2018-07-20 02:00:00,0.48,0.48,0.43,0.44,40745516.2
2018-07-21 02:00:00,0.44,0.46,0.43,0.46,28483991.4
2018-07-22 02:00:00,0.45,0.46,0.45,0.45,32232347.2
2018-07-23 02:00:00,0.45,0.46,0.44,0.44,30316389.9
2018-07-24 02:00:00,0.45,0.47,0.44,0.46,43532211.2
2018-07-25 02:00:00,0.46,0.47,0.45,0.46,42650288.4
2018-07-26 02:00:00,0.46,0.47,0.45,0.45,38041528.4
2018-07-27 02:00:00,0.45,0.46,0.44,0.46,35252979.8
2018-07-28 02:00:00,0.46,0.46,0.45,0.46,27843347.3
2018-07-29 02:00:00,0.46,0.46,0.45,0.45,31188705.5
2018-07-30 02:00:00,0.45,0.46,0.43,0.45,32141597.9
2018-07-31 02:00:00,0.45,0.45,0.43,0.44,31785092.6
2018-08-01 02:00:00,0.44,0.46,0.43,0.45,39833478.3
